p1_agent,p1_params,p1_label,p2_agent,p2_params,p2_label,games,p1_wins,p2_wins,draws,p1_winrate,p2_winrate,time_s,file
Random,{},Random,Random,{},Random,50,27,23,0,0.54,0.46,0.01,sweep_results/Random_vs_Random.txt
Random,{},Random,RuleBased,{},RuleBased,50,0,50,0,0.0,1.0,0.23,sweep_results/Random_vs_RuleBased.txt
Random,{},Random,MinMax,{'max_depth': 1},MinMax[max_depth=1],50,1,49,0,0.02,0.98,0.16,sweep_results/Random_vs_MinMax[max_depth=1].txt
Random,{},Random,MinMax,{'max_depth': 2},MinMax[max_depth=2],50,0,50,0,0.0,1.0,1.94,sweep_results/Random_vs_MinMax[max_depth=2].txt
Random,{},Random,MinMax,{'max_depth': 3},MinMax[max_depth=3],50,0,50,0,0.0,1.0,7.51,sweep_results/Random_vs_MinMax[max_depth=3].txt
Random,{},Random,MinMax,{'max_depth': 4},MinMax[max_depth=4],50,0,50,0,0.0,1.0,38.81,sweep_results/Random_vs_MinMax[max_depth=4].txt
Random,{},Random,MinMax,{'max_depth': 5},MinMax[max_depth=5],50,0,50,0,0.0,1.0,143.62,sweep_results/Random_vs_MinMax[max_depth=5].txt
Random,{},Random,MinMax,{'max_depth': 6},MinMax[max_depth=6],50,0,50,0,0.0,1.0,546.36,sweep_results/Random_vs_MinMax[max_depth=6].txt
Random,{},Random,AlphaBeta,{'max_depth': 1},AlphaBeta[max_depth=1],50,0,50,0,0.0,1.0,0.16,sweep_results/Random_vs_AlphaBeta[max_depth=1].txt
Random,{},Random,AlphaBeta,{'max_depth': 2},AlphaBeta[max_depth=2],50,0,50,0,0.0,1.0,0.76,sweep_results/Random_vs_AlphaBeta[max_depth=2].txt
Random,{},Random,AlphaBeta,{'max_depth': 3},AlphaBeta[max_depth=3],50,0,50,0,0.0,1.0,2.58,sweep_results/Random_vs_AlphaBeta[max_depth=3].txt
Random,{},Random,AlphaBeta,{'max_depth': 4},AlphaBeta[max_depth=4],50,0,50,0,0.0,1.0,5.71,sweep_results/Random_vs_AlphaBeta[max_depth=4].txt
Random,{},Random,AlphaBeta,{'max_depth': 5},AlphaBeta[max_depth=5],50,0,50,0,0.0,1.0,17.84,sweep_results/Random_vs_AlphaBeta[max_depth=5].txt
Random,{},Random,AlphaBeta,{'max_depth': 6},AlphaBeta[max_depth=6],50,0,50,0,0.0,1.0,42.58,sweep_results/Random_vs_AlphaBeta[max_depth=6].txt
Random,{},Random,MCTS,{'max_iterations': 5000},MCTS[max_iterations=5000],50,4,46,0,0.08,0.92,524.19,sweep_results/Random_vs_MCTS[max_iterations=5000].txt
Random,{},Random,MCTS,{'max_iterations': 10000},MCTS[max_iterations=10000],50,5,45,0,0.1,0.9,860.96,sweep_results/Random_vs_MCTS[max_iterations=10000].txt
Random,{},Random,MCTS,{'max_iterations': 15000},MCTS[max_iterations=15000],50,6,44,0,0.12,0.88,1192.66,sweep_results/Random_vs_MCTS[max_iterations=15000].txt
Random,{},Random,MCTS,{'max_iterations': 20000},MCTS[max_iterations=20000],50,3,47,0,0.06,0.94,1425.38,sweep_results/Random_vs_MCTS[max_iterations=20000].txt
RuleBased,{},RuleBased,Random,{},Random,50,50,0,0,1.0,0.0,0.17,sweep_results/RuleBased_vs_Random.txt
RuleBased,{},RuleBased,RuleBased,{},RuleBased,50,0,0,50,0.0,0.0,1.09,sweep_results/RuleBased_vs_RuleBased.txt
RuleBased,{},RuleBased,MinMax,{'max_depth': 1},MinMax[max_depth=1],50,50,0,0,1.0,0.0,0.24,sweep_results/RuleBased_vs_MinMax[max_depth=1].txt
RuleBased,{},RuleBased,MinMax,{'max_depth': 2},MinMax[max_depth=2],50,0,50,0,0.0,1.0,3.89,sweep_results/RuleBased_vs_MinMax[max_depth=2].txt
RuleBased,{},RuleBased,MinMax,{'max_depth': 3},MinMax[max_depth=3],50,0,50,0,0.0,1.0,14.84,sweep_results/RuleBased_vs_MinMax[max_depth=3].txt
RuleBased,{},RuleBased,MinMax,{'max_depth': 4},MinMax[max_depth=4],50,0,50,0,0.0,1.0,67.92,sweep_results/RuleBased_vs_MinMax[max_depth=4].txt
RuleBased,{},RuleBased,MinMax,{'max_depth': 5},MinMax[max_depth=5],50,0,50,0,0.0,1.0,237.37,sweep_results/RuleBased_vs_MinMax[max_depth=5].txt
RuleBased,{},RuleBased,MinMax,{'max_depth': 6},MinMax[max_depth=6],50,0,50,0,0.0,1.0,877.94,sweep_results/RuleBased_vs_MinMax[max_depth=6].txt
RuleBased,{},RuleBased,AlphaBeta,{'max_depth': 1},AlphaBeta[max_depth=1],50,50,0,0,1.0,0.0,0.22,sweep_results/RuleBased_vs_AlphaBeta[max_depth=1].txt
RuleBased,{},RuleBased,AlphaBeta,{'max_depth': 2},AlphaBeta[max_depth=2],50,0,50,0,0.0,1.0,1.93,sweep_results/RuleBased_vs_AlphaBeta[max_depth=2].txt
RuleBased,{},RuleBased,AlphaBeta,{'max_depth': 3},AlphaBeta[max_depth=3],50,0,50,0,0.0,1.0,4.52,sweep_results/RuleBased_vs_AlphaBeta[max_depth=3].txt
RuleBased,{},RuleBased,AlphaBeta,{'max_depth': 4},AlphaBeta[max_depth=4],50,0,50,0,0.0,1.0,12.72,sweep_results/RuleBased_vs_AlphaBeta[max_depth=4].txt
RuleBased,{},RuleBased,AlphaBeta,{'max_depth': 5},AlphaBeta[max_depth=5],50,0,50,0,0.0,1.0,35.4,sweep_results/RuleBased_vs_AlphaBeta[max_depth=5].txt
RuleBased,{},RuleBased,AlphaBeta,{'max_depth': 6},AlphaBeta[max_depth=6],50,0,50,0,0.0,1.0,110.78,sweep_results/RuleBased_vs_AlphaBeta[max_depth=6].txt
RuleBased,{},RuleBased,MCTS,{'max_iterations': 5000},MCTS[max_iterations=5000],50,46,4,0,0.92,0.08,503.09,sweep_results/RuleBased_vs_MCTS[max_iterations=5000].txt
RuleBased,{},RuleBased,MCTS,{'max_iterations': 10000},MCTS[max_iterations=10000],50,35,11,4,0.7,0.22,1025.05,sweep_results/RuleBased_vs_MCTS[max_iterations=10000].txt
RuleBased,{},RuleBased,MCTS,{'max_iterations': 15000},MCTS[max_iterations=15000],50,40,9,1,0.8,0.18,1208.57,sweep_results/RuleBased_vs_MCTS[max_iterations=15000].txt
RuleBased,{},RuleBased,MCTS,{'max_iterations': 20000},MCTS[max_iterations=20000],50,39,7,4,0.78,0.14,1355.19,sweep_results/RuleBased_vs_MCTS[max_iterations=20000].txt
MinMax,{'max_depth': 1},MinMax[max_depth=1],Random,{},Random,50,50,0,0,1.0,0.0,0.15,sweep_results/MinMax[max_depth=1]_vs_Random.txt
MinMax,{'max_depth': 1},MinMax[max_depth=1],RuleBased,{},RuleBased,50,0,50,0,0.0,1.0,0.88,sweep_results/MinMax[max_depth=1]_vs_RuleBased.txt
MinMax,{'max_depth': 1},MinMax[max_depth=1],MinMax,{'max_depth': 1},MinMax[max_depth=1],50,50,0,0,1.0,0.0,0.22,sweep_results/MinMax[max_depth=1]_vs_MinMax[max_depth=1].txt
MinMax,{'max_depth': 1},MinMax[max_depth=1],MinMax,{'max_depth': 2},MinMax[max_depth=2],50,50,0,0,1.0,0.0,0.66,sweep_results/MinMax[max_depth=1]_vs_MinMax[max_depth=2].txt
MinMax,{'max_depth': 1},MinMax[max_depth=1],MinMax,{'max_depth': 3},MinMax[max_depth=3],50,0,50,0,0.0,1.0,10.32,sweep_results/MinMax[max_depth=1]_vs_MinMax[max_depth=3].txt
MinMax,{'max_depth': 1},MinMax[max_depth=1],MinMax,{'max_depth': 4},MinMax[max_depth=4],50,0,50,0,0.0,1.0,53.23,sweep_results/MinMax[max_depth=1]_vs_MinMax[max_depth=4].txt
MinMax,{'max_depth': 1},MinMax[max_depth=1],MinMax,{'max_depth': 5},MinMax[max_depth=5],50,0,50,0,0.0,1.0,203.71,sweep_results/MinMax[max_depth=1]_vs_MinMax[max_depth=5].txt
MinMax,{'max_depth': 1},MinMax[max_depth=1],MinMax,{'max_depth': 6},MinMax[max_depth=6],50,0,50,0,0.0,1.0,707.29,sweep_results/MinMax[max_depth=1]_vs_MinMax[max_depth=6].txt
MinMax,{'max_depth': 1},MinMax[max_depth=1],AlphaBeta,{'max_depth': 1},AlphaBeta[max_depth=1],50,50,0,0,1.0,0.0,0.21,sweep_results/MinMax[max_depth=1]_vs_AlphaBeta[max_depth=1].txt
MinMax,{'max_depth': 1},MinMax[max_depth=1],AlphaBeta,{'max_depth': 2},AlphaBeta[max_depth=2],50,50,0,0,1.0,0.0,0.36,sweep_results/MinMax[max_depth=1]_vs_AlphaBeta[max_depth=2].txt
MinMax,{'max_depth': 1},MinMax[max_depth=1],AlphaBeta,{'max_depth': 3},AlphaBeta[max_depth=3],50,0,50,0,0.0,1.0,3.84,sweep_results/MinMax[max_depth=1]_vs_AlphaBeta[max_depth=3].txt
MinMax,{'max_depth': 1},MinMax[max_depth=1],AlphaBeta,{'max_depth': 4},AlphaBeta[max_depth=4],50,0,50,0,0.0,1.0,15.33,sweep_results/MinMax[max_depth=1]_vs_AlphaBeta[max_depth=4].txt
MinMax,{'max_depth': 1},MinMax[max_depth=1],AlphaBeta,{'max_depth': 5},AlphaBeta[max_depth=5],50,0,50,0,0.0,1.0,39.3,sweep_results/MinMax[max_depth=1]_vs_AlphaBeta[max_depth=5].txt
MinMax,{'max_depth': 1},MinMax[max_depth=1],AlphaBeta,{'max_depth': 6},AlphaBeta[max_depth=6],50,0,50,0,0.0,1.0,106.58,sweep_results/MinMax[max_depth=1]_vs_AlphaBeta[max_depth=6].txt
MinMax,{'max_depth': 1},MinMax[max_depth=1],MCTS,{'max_iterations': 5000},MCTS[max_iterations=5000],50,47,3,0,0.94,0.06,588.49,sweep_results/MinMax[max_depth=1]_vs_MCTS[max_iterations=5000].txt
